Type,Category,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Consumers,like,share,Total Interactions,date
Photo,1,3,6,17,0,11420,1342,211,14,237,14/03/2014
Photo,1,3,6,15,0,5704,450,15,1,17,21/03/2014
Photo,1,3,6,15,0,7192,554,95,4,110,28/03/2014
Photo,1,3,6,13,1,9604,1037,127,0,143,07/03/2014
Photo,1,3,6,10,0,122944,1268,136,13,149,14/03/2014
Link,2,3,6,6,0,5730,71,32,15,49,21/03/2014
Photo,1,3,6,3,0,4898,528,76,9,86,28/03/2014
Photo,1,3,5,10,0,4118,526,28,7,36,20/03/2014
Photo,1,3,5,4,1,1845,9,0,0,0,27/03/2014
Photo,3,3,4,13,0,34480,1156,664,97,771,05/03/2014
Photo,3,3,2,9,0,5338,556,62,10,73,03/03/2014
Photo,2,3,2,5,0,5312,582,48,20,68,10/03/2014
Photo,1,3,1,13,1,4412,678,55,7,63,02/03/2014
Photo,1,3,1,2,1,98816,11328,197,21,228,09/03/2014
Photo,1,3,7,10,1,7220,2300,88,24,118,15/03/2014
Photo,1,3,7,5,1,14320,1819,59,6,67,22/03/2014
Photo,1,2,6,13,1,27056,2127,234,26,266,14/02/2014
Photo,1,2,6,6,0,20528,1800,148,21,172,21/02/2014
Photo,1,2,5,12,0,6416,1313,96,29,125,13/02/2014
Photo,1,2,5,6,0,5786,1218,49,15,68,20/02/2014
Photo,3,2,4,12,0,5878,1087,98,27,128,12/02/2014
Photo,3,2,4,3,0,9528,1288,198,70,282,19/02/2014
Photo,3,2,3,13,0,8500,1029,159,53,217,04/02/2014
Photo,1,2,3,9,1,3796,940,22,6,29,11/02/2014
Photo,1,2,3,6,0,28128,2190,154,18,178,18/02/2014
Photo,3,2,2,13,0,7228,1189,128,32,165,03/02/2014
Photo,2,2,2,3,1,5290,994,129,32,163,10/02/2014
Photo,3,2,1,13,0,55520,3586,1546,181,1873,09/02/2014
Photo,1,2,1,4,0,5880,1264,79,11,95,16/02/2014
Photo,3,2,7,13,1,10040,1346,214,78,311,15/02/2014
Photo,3,2,7,2,1,153536,1633,134,34,176,22/02/2014
Photo,1,2,6,13,0,158208,2319,268,36,313,28/02/2014
Photo,3,2,6,3,0,6484,1115,128,38,170,07/02/2014
Photo,2,2,5,13,1,4840,923,47,21,71,27/02/2014
Photo,2,2,5,3,1,15880,1071,200,37,238,06/02/2014
Photo,1,2,4,12,0,15288,1401,264,36,305,26/02/2014
Photo,3,2,4,3,0,9528,1175,193,61,264,05/02/2014
Link,1,2,3,13,0,9356,381,114,13,131,25/02/2014
Photo,3,2,3,3,0,7732,1002,160,57,224,04/02/2014
Photo,1,2,2,13,0,5240,837,46,15,61,17/02/2014
Photo,3,2,2,4,1,7132,944,136,42,182,24/02/2014
Photo,1,2,1,12,0,21928,1479,73,13,86,23/02/2014
Photo,3,1,6,16,1,5754,1143,65,19,84,24/01/2014
Photo,1,1,6,10,1,37088,2288,579,47,633,03/01/2014
Link,1,1,6,4,0,39600,496,101,5,107,10/01/2014
Photo,3,1,5,13,0,5536,1099,74,31,106,16/01/2014
Photo,3,1,5,4,0,6056,1078,84,36,127,23/01/2014
Photo,2,1,4,11,0,11484,1635,360,99,515,15/01/2014
Link,1,1,4,4,1,4938,63,5,2,7,22/01/2014
Photo,3,1,3,10,0,66784,2833,187,36,226,07/01/2014
Photo,2,1,3,3,0,5526,1058,69,26,97,14/01/2014
Photo,3,1,2,7,0,5040,1023,82,24,108,20/01/2014
Link,1,1,2,2,0,5168,59,12,2,14,27/01/2014
Photo,3,1,1,12,0,5034,993,56,25,83,05/01/2014
Photo,3,1,1,2,0,4908,937,44,21,66,12/01/2014
Photo,3,1,7,10,0,9700,1271,277,80,378,11/01/2014
Photo,3,1,7,2,0,4800,938,74,28,103,18/01/2014
Photo,3,1,6,11,0,5280,911,79,30,110,17/01/2014
Photo,3,1,6,3,1,6184,901,105,46,152,24/01/2014
Link,1,1,5,11,0,45920,655,128,9,137,02/01/2014
Photo,3,1,1,2,0,8412,1111,185,55,257,19/01/2014
Photo,3,1,7,10,0,5400,756,125,41,176,25/01/2014
Photo,3,1,7,2,0,4684,708,53,26,84,04/01/2014
Photo,2,1,5,8,0,3480,508,53,22,75,09/01/2014
Photo,1,1,5,2,0,3778,572,93,18,115,16/01/2014
Photo,3,1,4,11,0,4156,574,91,38,136,01/01/2014
Photo,2,1,4,4,,4188,524,91,28,119,08/01/2014
